tests,class
testPrefaceHiddenNotDisplayed,com.orgzly.android.espresso.BookPrefaceTest
testPrefaceFullDisplayed,com.orgzly.android.espresso.BookPrefaceTest
testBackFromSettingsShouldReturnToPreviousFragment,com.orgzly.android.espresso.BookTest
testOpenSettings,com.orgzly.android.espresso.BooksTest
testSortOrder,com.orgzly.android.espresso.CreatedAtPropertyTest
testClearDatabaseWithFragmentsInBackStack,com.orgzly.android.espresso.MiscTest
testBookTitleChangeOnPrefaceEdit,com.orgzly.android.espresso.MiscTest
testScheduledWithRepeaterToDoneFromBook,com.orgzly.android.espresso.MiscTest
testDeleteNote,com.orgzly.android.espresso.NoteFragmentTest
testDeSelectRemovedNoteInSearch,com.orgzly.android.espresso.QueryFragmentTest
testExportSavedSearches,com.orgzly.android.espresso.SavedSearchesFragmentTest
testDisplayedContentInBook,com.orgzly.android.espresso.SettingsChangeTest
testLowestPriorityUpdateOnDefaultPriorityChange,com.orgzly.android.espresso.SettingsFragmentTest
testAddingNewTodoKeywordInSettingsAndChangingStateToItForNewNote,com.orgzly.android.espresso.SettingsFragmentTest
testNewNoteDefaultStateIsSetInitially,com.orgzly.android.espresso.SettingsFragmentTest
testNewNoteDefaultStateIsInitiallyVisibleInSummary,com.orgzly.android.espresso.SettingsFragmentTest
testLowercaseStateConvertedToUppercase,com.orgzly.android.espresso.SettingsFragmentTest
testAddingNewTodoKeywordInSettingsNewNoteShouldHaveDefaultState,com.orgzly.android.espresso.SettingsFragmentTest
testStatesDuplicateDetectedIgnoringCase,com.orgzly.android.espresso.SettingsFragmentTest
testForceLoadingMultipleTimes,com.orgzly.android.espresso.SyncingTest
testPrefaceModificationMakesBookOutOfSync,com.orgzly.android.espresso.SyncingTest
testInheritedTagsAfterDemotingSubtree,com.orgzly.android.espresso.QueryFragmentTest
testSelectingNoteThenOpeningAnotherBook,com.orgzly.android.espresso.MiscTest
testChangeDefaultPrioritySearchResultsShouldBeReordered,com.orgzly.android.espresso.SettingsChangeTest
books_sortOrderAfterSettingsChange,com.orgzly.android.espresso.BooksSortOrderTest
testCondition,com.orgzly.android.espresso.CreatedAtPropertyTest
testNewNote,com.orgzly.android.espresso.CreatedAtPropertyTest
testScheduledWithRepeaterToDoneFromNoteFragment,com.orgzly.android.espresso.MiscTest
testBookReparseOnStateConfigChange,com.orgzly.android.espresso.MiscTest
testChangingStateSettingsFromNoteFragment,com.orgzly.android.espresso.NoteFragmentTest
testInheritedTagsAfterMovingNote,com.orgzly.android.espresso.QueryFragmentTest
testDefaultPriorityUpdateOnLowestPriorityChange,com.orgzly.android.espresso.SettingsFragmentTest
testAutoSyncIsTriggeredAfterCreatingNote,com.orgzly.android.espresso.SyncingTest
testBookParsingAfterKeywordsSettingChange,com.orgzly.android.espresso.SyncingTest
testChangeDefaultPriorityAgendaResultsShouldBeReordered,com.orgzly.android.espresso.SettingsChangeTest
testStateSummaryAfterNoStates,com.orgzly.android.espresso.SettingsFragmentTest
testMetadataShowSelectedOnNoteLoad,com.orgzly.android.espresso.NoteFragmentTest
testChangeCreatedAtPropertyResultsShouldBeReordered,com.orgzly.android.espresso.CreatedAtPropertyTest
