test,class
testNewBookDialogShouldSurviveScreenRotation,com.orgzly.android.espresso.MiscTest
testReposActivityFragments,com.orgzly.android.espresso.MiscTest
testChangingPrioritySettingsFromNoteFragment,com.orgzly.android.espresso.NoteFragmentTest
testDropboxRepoWithPercentCharacter,com.orgzly.android.espresso.ReposActivityTest
testImportingGettingStartedFromGettingStartedNotebook,com.orgzly.android.espresso.SettingsFragmentTest
testRenamingReposRemovesLinksWhatUsedThem,com.orgzly.android.espresso.SyncingTest
testForceLoadingBookWithLink,com.orgzly.android.espresso.SyncingTest
testSettingLinkToRenamedRepo,com.orgzly.android.espresso.SyncingTest
testSavingProperties,com.orgzly.android.espresso.NoteFragmentTest
testForceLoadingAfterModification,com.orgzly.android.espresso.SyncingTest
testMainActivityFragments,com.orgzly.android.espresso.MiscTest
testSaveAfterRotation,com.orgzly.android.espresso.ShareActivityTest
testCabStaysOpenOnRotationInQueryFragment,com.orgzly.android.espresso.ActionModeTest
testTrimmingTitleInNoteFragment,com.orgzly.android.espresso.MiscTest
