test,class
testClickNavDrawer,de.test.antennapod.ui.NavigationDrawerTest
testSmartMarkAsPlayed_Skip_LastEpisodeInQueue,de.test.antennapod.playback.PlaybackTest
testSmartMarkAsPlayed_Pause_WontAffectItem,de.test.antennapod.playback.PlaybackTest
testSmartMarkAsPlayed_Pause_WontAffectItem[exoplayer],de.test.antennapod.playback.PlaybackTest
testSmartMarkAsPlayed_Skip_Average[builtin],de.test.antennapod.playback.PlaybackTest
testAddFeed,de.test.antennapod.ui.MainActivityTest
testSmartMarkAsPlayed_Skip_Average[exoplayer],de.test.antennapod.playback.PlaybackTest
testAlternateAtomWithTitleAbsolute,de.test.antennapod.util.syndication.FeedDiscovererTest
testBackButtonBehaviorOpenDrawer,de.test.antennapod.ui.MainActivityTest
testSmartMarkAsPlayed_Skip_Average[sonic],de.test.antennapod.playback.PlaybackTest
testSmartMarkAsPlayed_Skip_LastEpisodeInQueue[sonic],de.test.antennapod.playback.PlaybackTest
testPausePlayingStateNoAbandonReinitStream,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest
testContinousPlaybackOffMultipleEpisodes[exoplayer],de.test.antennapod.playback.PlaybackTest
testMarkAsPlayedList,de.test.antennapod.ui.TextOnlyFeedsTest
testResumePreparedState,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest
testContinuousPlaybackOnMultipleEpisodes[exoplayer],de.test.antennapod.playback.PlaybackTest
testContinuousPlaybackOnMultipleEpisodes[builtin],de.test.antennapod.playback.PlaybackTest
testSmartMarkAsPlayed_Skip_LastEpisodeInQueue[builtin],de.test.antennapod.playback.PlaybackTest
testSmartMarkAsPlayed_Pause_WontAffectItem[builtin],de.test.antennapod.playback.PlaybackTest
testContinousPlaybackOffMultipleEpisodes[sonic],de.test.antennapod.playback.PlaybackTest
testSmartMarkAsPlayed_Pause_WontAffectItem[sonic],de.test.antennapod.playback.PlaybackTest
testCancelDownload_UndoEnqueue_AlreadyInQueue,de.test.antennapod.service.download.DownloadServiceTest
testCancelDownload_UndoEnqueue_Normal,de.test.antennapod.service.download.DownloadServiceTest
testSmartMarkAsPlayed_Skip_LastEpisodeInQueue[exoplayer],de.test.antennapod.playback.PlaybackTest
testContinousPlaybackOffMultipleEpisodes[builtin],de.test.antennapod.playback.PlaybackTest
testContinuousPlaybackOnMultipleEpisodes[sonic],de.test.antennapod.playback.PlaybackTest
downloadsEnqueuedToAfterCurrent_CurrentAdvancedToNextOnPlaybackComplete,de.test.antennapod.storage.AutoDownloadTest
